Inbound Rate(bit/s),Outbound Rate(bit/s),Inbound Bandwidth Utilization(%),Outbound Bandwidth Utilization(%),Label
0.9310001410516362,1.2242462136786831,0.9310007002543128,1.2242440648813397,0
0.9657731539302451,1.30273349623523,0.9659437983935659,1.3035845751834008,0
1.018103129193642,1.3417626913862994,1.017932310259284,1.3421826612762953,0
1.0886292766373893,1.374144056594055,1.0886707772241133,1.374347733020374,0
1.1287716517987245,1.3814352249189803,1.1287274994813061,1.3807807473691895,0
1.17598794869762,1.4479135243521208,1.1760285225722464,1.4472552289736191,0
1.2095677699578453,1.4054531911657924,1.2096932146820145,1.4065128047644528,0
1.243019749258958,1.4140310362539394,1.2429317714486212,1.4129458191132684,0
1.2980770196500888,1.3743585027212588,1.2979032307164706,1.374347733020374,0
1.270676226413636,1.3797196559013507,1.2706305687541268,1.3807807473691895,0
1.2511590206557894,1.3546294590185202,1.2510283429686921,1.3550486899739267,0
1.23505093380761,1.3241781089555977,1.2352613352717121,1.3250279563461198,0
1.2141700804858966,1.3533427822552981,1.2143807034567924,1.352904351857655,0
1.1778203501115663,1.2868644828221576,1.1777330639448929,1.2864298702532253,0
1.1710447262786021,1.3023046039808224,1.1709148984543067,1.301440237067129,0
1.1521241163299472,1.2667065468650116,1.1521649433551953,1.2671308272067783,0
1.1192261188516555,1.24912196443431,1.1193525219317506,1.2499761222766028,0
1.0833877563137753,1.3033768346168408,1.083557153106174,1.3035845751834008,0
1.0455039224300948,1.3237492167011904,1.0456311075647895,1.322883618229848,0
0.9566963748332553,1.2549120098688094,0.9565688208440103,1.2542647985091466,0
0.8306442031482979,1.1717069125137816,0.8304327592681697,1.1727799500908136,0
0.7902887580551083,1.1403977779420444,0.7903760370109768,1.1406148783467351,0
0.7953598224332388,1.144043362104507,0.7954896611289165,1.144903554579279,0
0.802945112007249,1.1648446364432639,0.8027339619626639,1.1642025976257262,0
0.8453460284462392,1.227677351713942,0.8453474962788262,1.2285327411138838,0
0.8463261501327686,1.2486930721799026,0.8461997669651496,1.247831784160331,0
0.8565108928754004,1.2836477909141024,0.8564270152010287,1.2842855321369535,0
0.8818236007796819,1.3175302790122838,0.8819951357907262,1.3185949419973042,0
0.9035567338288124,1.3484105213296136,0.9037280382919689,1.3486156756251109,0
